v' v'' PQR Aul(S-1)
0	0	R(	0)	0.00E+00
0	0	Q(	1)	8.76E+08
0	0	P(	2)	8.76E+08
0	0	R(	1)	1.75E+08
0	0	Q(	2)	8.76E+08
0	0	P(	3)	7.01E+08
0	0	R(	2)	2.51E+08
0	0	Q(	3)	8.76E+08
0	0	P(	4)	6.25E+08
0	0	R(	3)	2.92E+08
0	0	Q(	4)	8.76E+08
0	0	P(	5)	5.84E+08
0	0	R(	4)	3.19E+08
0	0	Q(	5)	8.76E+08
0	0	P(	6)	5.57E+08
0	0	R(	5)	3.37E+08
0	0	Q(	6)	8.76E+08
0	0	P(	7)	5.38E+08
0	0	R(	6)	3.51E+08
0	0	Q(	7)	8.75E+08
0	0	P(	8)	5.24E+08
0	0	R(	7)	3.61E+08
0	0	Q(	8)	8.75E+08
0	0	P(	9)	5.14E+08
0	0	R(	8)	3.69E+08
0	0	Q(	9)	8.75E+08
0	0	P(	10)	5.05E+08
0	0	R(	9)	3.76E+08
0	0	Q(	10)	8.74E+08
0	0	P(	11)	4.99E+08
0	0	R(	10)	3.81E+08
0	0	Q(	11)	8.74E+08
0	0	P(	12)	4.93E+08
0	0	R(	11)	3.85E+08
0	0	Q(	12)	8.74E+08
0	0	P(	13)	4.88E+08
0	0	R(	12)	3.89E+08
0	0	Q(	13)	8.73E+08
0	0	P(	14)	4.84E+08
0	0	R(	13)	3.92E+08
0	0	Q(	14)	8.73E+08
0	0	P(	15)	4.80E+08
0	0	R(	14)	3.95E+08
0	0	Q(	15)	8.72E+08
0	0	P(	16)	4.77E+08
0	0	R(	15)	3.97E+08
0	0	Q(	16)	8.71E+08
0	0	P(	17)	4.74E+08
0	0	R(	16)	3.99E+08
0	0	Q(	17)	8.71E+08
0	0	P(	18)	4.71E+08
0	0	R(	17)	4.01E+08
0	0	Q(	18)	8.70E+08
0	0	P(	19)	4.68E+08
0	0	R(	18)	4.03E+08
0	0	Q(	19)	8.69E+08
0	0	P(	20)	4.66E+08
0	0	R(	19)	4.04E+08
0	0	Q(	20)	8.69E+08
0	0	P(	21)	4.64E+08
0	0	R(	20)	4.05E+08
0	0	Q(	21)	8.68E+08
0	0	P(	22)	4.62E+08
0	0	R(	21)	4.06E+08
0	0	Q(	22)	8.67E+08
0	0	P(	23)	4.60E+08
0	0	R(	22)	4.07E+08
0	0	Q(	23)	8.66E+08
0	0	P(	24)	4.58E+08
0	0	R(	23)	4.08E+08
0	0	Q(	24)	8.65E+08
0	0	P(	25)	4.57E+08
0	0	R(	24)	4.09E+08
0	0	Q(	25)	8.64E+08
0	0	P(	26)	4.55E+08
0	0	R(	25)	4.09E+08
0	0	Q(	26)	8.63E+08
0	0	P(	27)	4.54E+08
0	0	R(	26)	4.10E+08
0	0	Q(	27)	8.62E+08
0	0	P(	28)	4.52E+08
0	0	R(	27)	4.10E+08
0	0	Q(	28)	8.61E+08
0	0	P(	29)	4.51E+08
0	0	R(	28)	4.11E+08
0	0	Q(	29)	8.60E+08
0	0	P(	30)	4.49E+08
0	0	R(	29)	4.11E+08
0	0	Q(	30)	8.59E+08
0	0	P(	31)	4.48E+08
0	0	R(	30)	4.11E+08
0	0	Q(	31)	8.58E+08
0	0	P(	32)	4.46E+08
0	0	R(	31)	4.11E+08
0	0	Q(	32)	8.56E+08
0	0	P(	33)	4.45E+08
0	0	R(	32)	4.11E+08
0	0	Q(	33)	8.55E+08
0	0	P(	34)	4.44E+08
0	0	R(	33)	4.11E+08
0	0	Q(	34)	8.54E+08
0	0	P(	35)	4.42E+08
0	0	R(	34)	4.11E+08
0	0	Q(	35)	8.52E+08
0	0	P(	36)	4.41E+08
0	0	R(	35)	4.11E+08
0	0	Q(	36)	8.51E+08
0	0	P(	37)	4.40E+08
0	0	R(	36)	4.11E+08
0	0	Q(	37)	8.50E+08
0	0	P(	38)	4.38E+08
0	0	R(	37)	4.11E+08
0	0	Q(	38)	8.48E+08
0	0	P(	39)	4.37E+08
0	0	R(	38)	4.10E+08
0	0	Q(	39)	8.47E+08
0	0	P(	40)	4.36E+08
0	0	R(	39)	4.10E+08
0	0	Q(	40)	8.45E+08
0	0	P(	41)	4.34E+08
0	0	R(	40)	4.10E+08
0	0	Q(	41)	8.43E+08
0	0	P(	42)	4.33E+08
0	0	R(	41)	4.09E+08
0	0	Q(	42)	8.42E+08
0	0	P(	43)	4.32E+08
0	0	R(	42)	4.09E+08
0	0	Q(	43)	8.40E+08
0	0	P(	44)	4.31E+08
0	0	R(	43)	4.09E+08
0	0	Q(	44)	8.38E+08
0	0	P(	45)	4.29E+08
0	0	R(	44)	4.08E+08
0	0	Q(	45)	8.36E+08
0	0	P(	46)	4.28E+08
0	0	R(	45)	4.08E+08
0	0	Q(	46)	8.35E+08
0	0	P(	47)	4.27E+08
0	0	R(	46)	4.07E+08
0	0	Q(	47)	8.33E+08
0	0	P(	48)	4.25E+08
0	0	R(	47)	4.06E+08
0	0	Q(	48)	8.31E+08
0	0	P(	49)	4.24E+08
0	0	R(	48)	4.06E+08
0	0	Q(	49)	8.29E+08
0	0	P(	50)	4.23E+08
0	0	R(	49)	4.05E+08
0	0	Q(	50)	8.27E+08
